sadness,anger,fear,disgust,joy,sadness_dich,anger_dich,fear_dich,disgust_dich,joy_dich
0.175924091,0.066304503,0.043391374,0.052189797,0.130618631,1,1,0,1,0
0.160024054,0.059194557,0.056414054,0.022390491,0.14552597,0,1,0,0,1
0.129739403,0.048699513,0.074146968,0.017566526,0.200846792,0,0,1,0,1
0.130005878,0.035717646,0.070372,0.025524088,0.187630403,0,0,1,0,1
0.148481146,0.074260981,0.075546804,0.016397759,0.142122639,0,1,1,0,1
0.13562951,0.053159048,0.073896048,0.034287428,0.162316028,0,0,1,1,1
0.188242961,0.067973458,0.079513013,0.035588314,0.145559882,1,1,1,1,1
0.179989797,0.050867898,0.07298718,0.035002516,0.186134375,1,0,1,1,1
0.157732605,0.034639279,0.055435829,0.027339496,0.209375147,0,0,0,0,1
0.154227163,0.069229699,0.073159856,0.040059549,0.191384575,0,1,1,1,1
0.15421627,0.056901547,0.090514743,0.029280372,0.135267466,0,1,1,0,0
0.150707754,0.081007782,0.072537803,0.032774866,0.126557824,0,1,1,0,0
0.152529905,0.052468412,0.075548838,0.055480926,0.166221311,0,0,1,1,1
0.166594175,0.074886124,0.084477153,0.037859146,0.144185861,1,1,1,1,1
0.166828454,0.043873762,0.071175946,0.0288398,0.154491169,1,0,1,0,1
0.140590711,0.035925938,0.071192469,0.075941992,0.16150575,0,0,1,1,1
0.127636315,0.049727378,0.070431811,0.028750724,0.157388118,0,0,1,0,1
0.144087179,0.051560959,0.086698366,0.016817228,0.15856374,0,0,1,0,1
0.118725962,0.0306165,0.061834038,0.036567481,0.180362215,0,0,0,1,1
0.1658255,0.053813838,0.105046514,0.032159912,0.146668345,1,1,1,0,1
0.128607986,0.035934593,0.075795117,0.034672538,0.170122317,0,0,1,1,1
0.142603547,0.03856407,0.086799242,0.037299086,0.16138932,0,0,1,1,1
0.126673937,0.031713893,0.069501597,0.041367296,0.186269855,0,0,1,1,1
0.137682799,0.059820181,0.053784805,0.025076577,0.169119826,0,1,0,0,1
0.159845328,0.071059879,0.059494552,0.0308695,0.163990819,0,1,0,0,1
0.16184548,0.05166589,0.096722102,0.02652126,0.152652276,0,0,1,0,1
0.154312243,0.039674743,0.083972346,0.033130882,0.194795956,0,0,1,0,1
0.174658133,0.045380977,0.080959625,0.040578023,0.138703094,1,0,1,1,0
0.115864662,0.033690848,0.047751186,0.025301821,0.153041331,0,0,0,0,1
0.135047568,0.063353532,0.07356018,0.01486718,0.160232561,0,1,1,0,1
0.169973122,0.069344981,0.077205808,0.020739737,0.130733769,1,1,1,0,0
0.153458391,0.046102098,0.064743346,0.038502549,0.145253353,0,0,1,1,1
0.135737059,0.054215156,0.096976437,0.034543074,0.113546289,0,1,1,1,0
0.126282638,0.048739142,0.050346268,0.026747646,0.154573244,0,0,0,0,1
0.158895351,0.066799954,0.069306038,0.025634939,0.149538137,0,1,1,0,1
0.145482797,0.072516716,0.04490252,0.034589297,0.153070324,0,1,0,1,1
0.137726007,0.049295809,0.057286625,0.035825324,0.127357676,0,0,0,1,0
0.191181769,0.058087,0.076711875,0.018596906,0.106000344,1,1,1,0,0
0.178727453,0.046387113,0.048863088,0.032396912,0.137242409,1,0,0,0,0
0.15292108,0.053840975,0.076676491,0.027647791,0.121513,0,1,1,0,0
0.175855583,0.059000507,0.09039766,0.038956125,0.128323347,1,1,1,1,0
0.165189797,0.060248568,0.062818797,0.027645297,0.131294642,1,1,1,0,0
0.141598507,0.049733918,0.057142699,0.035885151,0.149721733,0,0,0,1,1
0.167664474,0.059648474,0.086775881,0.03619083,0.147366941,1,1,1,1,1
0.2068114,0.056879779,0.044813648,0.039598959,0.166478414,1,1,0,1,1
0.17968927,0.057617834,0.050108969,0.03554708,0.147047227,1,1,0,1,1
0.1208042,0.043956,0.054363859,0.034290973,0.171283005,0,0,0,1,1
0.182226188,0.055517386,0.063238748,0.031711193,0.134892436,1,1,1,0,0
0.181689326,0.053231197,0.077571949,0.040288343,0.123763112,1,0,1,1,0
0.131377406,0.052587642,0.06038683,0.025781121,0.14404703,0,0,0,0,1
0.186418177,0.040658704,0.065804237,0.038817215,0.122008548,1,0,1,1,0
0.164595047,0.039770611,0.072976663,0.0259161,0.142812253,1,0,1,0,1
0.177197346,0.066915698,0.077168923,0.043908659,0.137111418,1,1,1,1,0
0.176442418,0.041196647,0.0972453,0.031282918,0.122062306,1,0,1,0,0
0.185741612,0.043399842,0.068746014,0.028766921,0.123266899,1,0,1,0,0
0.149920075,0.059366714,0.064093054,0.03058702,0.165074299,0,1,1,0,1
0.171640852,0.014024696,0.056809444,0.038347363,0.168149941,1,0,0,1,1
0.145577353,0.048042111,0.051445447,0.029804984,0.159101947,0,0,0,0,1
0.167773072,0.041666923,0.060766559,0.045963118,0.137547574,1,0,0,1,0
0.189273141,0.047643201,0.059799016,0.035003266,0.09911512,1,0,0,1,0
0.162853359,0.054051674,0.072356168,0.031680946,0.171539174,1,1,1,0,1
0.160289268,0.044313685,0.070751321,0.033060101,0.141202887,0,0,1,0,0
0.146871794,0.050137537,0.078853154,0.041292314,0.139010857,0,0,1,1,0
0.170696614,0.058542987,0.070013418,0.034539823,0.136948209,1,1,1,1,0
0.151210723,0.048115096,0.067465283,0.030649265,0.143897078,0,0,1,0,1
0.162321404,0.045460237,0.076409731,0.028843737,0.134095321,1,0,1,0,0
0.167343816,0.036713937,0.080152234,0.025702873,0.136469057,1,0,1,0,0
